name,start_date,start_time,distance,moving_time,total_elevation_gain,type,kudos_count,comment_count,max_speed,average_speed,average_heartrate,max_heartrate,week
Lunch Run to Ella’s,2024-05-12,11:48:58,5.2344,30.883333333333333,72.3,Run,16,0,4.082965866405357,5.899705014749262,158.3,176.0,19
Morning Run,2024-05-11,10:54:13,5.2954,30.433333333333334,53.8,Run,9,0,4.006410256410256,5.74712643678161,158.5,179.0,19
Morning Run,2024-05-09,07:56:39,4.084,25.75,35.0,Run,18,0,4.221546774738265,6.305965443309371,153.7,169.0,19
Vancouver BMO Marathon!,2024-05-05,08:35:09,42.2,230.8,0.0,Run,34,17,inf,5.469861065528935,,,18
Afternoon Run,2024-05-01,17:34:05,6.3542,36.55,77.4,Run,17,4,3.579610538373425,5.7530778966747205,156.5,177.0,18
Evening Run,2024-04-30,18:11:25,5.0658,28.416666666666668,57.0,Run,14,0,3.557452863749555,5.609783462358353,150.6,168.0,18
Morning Run,2024-04-28,10:05:39,3.7645,19.9,18.2,Run,12,0,3.329338127580237,5.28597103287874,155.7,173.0,17
Afternoon Run,2024-04-27,16:43:35,12.2213,68.6,99.9,Run,16,0,2.720644248558058,5.613562366677894,159.1,175.0,17
Evening Run,2024-04-26,19:29:11,5.7597,28.983333333333334,27.8,Run,11,0,2.947765593679991,5.032206119162641,162.2,174.0,17
Morning Run,2024-04-25,06:34:58,9.087399999999999,50.6,62.2,Run,14,0,2.540650406504065,5.568548836173293,163.6,176.0,17
Morning Run,2024-04-23,07:22:49,6.3025,33.28333333333333,31.7,Run,13,1,2.749367645441548,5.280946345585128,165.8,178.0,17
Evening Run,2024-04-22,20:12:25,6.282,34.96666666666667,33.2,Run,13,0,2.94256120527307,5.5666889334224,156.4,175.0,17
Long runs getting less long!,2024-04-20,16:53:28,20.3484,109.6,94.4,Run,24,2,3.075030750307503,5.386770092652445,170.0,182.0,16
Morning Run,2024-04-18,08:17:38,8.0281,43.71666666666667,63.3,Run,16,0,2.5807783627542067,5.444843732984864,162.9,179.0,16
Evening Run,2024-04-17,19:25:04,10.039,53.45,33.3,Run,23,7,3.236245954692557,5.324813631522897,164.7,176.0,16
Morning Run,2024-04-16,06:52:49,9.2971,54.03333333333333,59.5,Run,22,2,3.405530581664623,5.8112505811250585,160.9,172.0,16
Ella’s bdayyyyyyy run!,2024-04-14,09:23:42,32.5679,180.05,290.1,Run,28,2,3.0435841246652053,5.527915975677169,,,15
Morning Run,2024-04-13,09:17:26,4.529100000000001,25.9,0.0,Run,9,0,2.2142509189141313,5.719514985129261,159.4,191.0,15
